id,equipment_type,inspection_type,serial_number,expiry_date,status,capacity_ton,leg,location,created_at
e8d8ccaa-4a7d-4f05-bcbf-55481cfe8076,"Wire Rope Pulling Hoist","Visual Inspection",407230267,2026-09-03,Valid,3.2,"",TB-703,"2026-04-18 11:15:20.569001+00"
546d2f30-e7aa-410d-b55c-0c813808c68e,"Wire Rope Pulling Sling","Visual Inspection",NPS-5023,2026-09-03,Valid,3.3,1,TB-703,"2026-04-18 11:15:20.569001+00"
ade26dae-16f0-4451-9beb-f89626964149,"Wire Rope Pulling Sling","Visual Inspection",NPS-5019,2029-09-03,Valid,3.3,1,TB-703,"2026-04-18 11:15:20.569001+00"
0591ffe3-1604-4c09-a10f-9f4e0cedf3b2,"Wire Rope Pulling Hoist","Visual Inspection",410280072,2026-09-23,Valid,3.2,"",TB-720,"2026-04-18 11:15:20.569001+00"
0c5cf38b-ba79-4464-80d4-350e99c36f6e,"Wire Rope Pulling Hoist","Visual Inspection",407230270,2026-09-23,Valid,3.2,"",TB-720,"2026-04-18 11:15:20.569001+00"
cc9cca32-40f7-4c1a-a479-caed81480c70,"Wire Rope Pulling Sling","Visual Inspection",NPS-5020,2026-09-23,Valid,3.3,1,TB-720,"2026-04-18 11:15:20.569001+00"
f8115fca-4f99-4943-b13f-cdc787f6f367,"Wire Rope Pulling Sling","Visual Inspection",NPS-5022,2026-09-23,Valid,3.3,1,TB-720,"2026-04-18 11:15:20.569001+00"
daa57f35-bf03-4c1e-9f5b-90f503dcea34,"Wire Rope Pulling Hoist","Visual Inspection",410280074,2026-08-04,Valid,3.2,"",TB-713,"2026-04-18 11:15:20.569001+00"
14cf63e4-720c-4d56-9aca-e7175705da8d,"Wire Rope Pulling Hoist","Visual Inspection",407230266,2026-08-04,Valid,3.2,"",TB-713,"2026-04-18 11:15:20.569001+00"
18d4fb48-182c-4d7c-a902-9325ce518231,"Wire Rope Pulling Sling","Visual Inspection",NPS-5021,2026-08-03,Valid,3.3,1,TB-713,"2026-04-18 11:15:20.569001+00"
aa73f976-2a22-4a8f-a098-88038c0e95ef,"Wire Rope Pulling Sling","Visual Inspection",NPS-5024,2026-08-03,Valid,3.3,1,TB-713,"2026-04-18 11:15:20.569001+00"
1a208b00-6c5c-42da-aa95-dc45f1ca0af8,Chain,"Visual Inspection",NPS-2870,2026-09-27,Valid,3.15,1,Yard,"2026-04-18 11:15:20.569001+00"
c7472e96-3eae-4f83-a81c-f0e73383a33b,Chain,"Visual Inspection",NPS-3941,2026-09-27,Valid,3.15,1,Yard,"2026-04-18 11:15:20.569001+00"
e0de3f25-123c-4322-8ec8-ac1e773d51d3,Chain,"Visual Inspection",2189-05,2026-09-27,Valid,3.15,1,Yard,"2026-04-18 11:15:20.569001+00"
002c743e-21ac-40d6-b7c6-522c803e0e5e,Chain,"Visual Inspection",2189-09,2026-09-27,Valid,3.15,1,Yard,"2026-04-18 11:15:20.569001+00"
39d0eec9-b1fc-40de-8aff-07f746b4f86d,Chain,"Visual Inspection",2189-04,2026-09-27,Valid,3.15,1,Yard,"2026-04-18 11:15:20.569001+00"
4556dd8e-418f-44ab-b682-df14f7eb771c,Chain,"Visual Inspection",NPS-3441,2026-09-27,Valid,3.15,1,Yard,"2026-04-18 11:15:20.569001+00"
2ab60af8-0045-4471-a969-b013059aa3bb,Chain,"Visual Inspection",NPS-3957,2026-09-14,Valid,3.15,1,Yard,"2026-04-18 11:15:20.569001+00"
7a9dfe2c-5b31-4836-bcec-10ff25c3ad6e,Chain,"Visual Inspection",NPS-2433,,Valid,3.15,1,TB-720,"2026-04-18 11:15:20.569001+00"
d43b58c4-1b87-43b1-92a8-4a57fb15ada1,Chain,"Visual Inspection",NPS-3286,2026-09-27,Valid,3.15,1,TB-720,"2026-04-18 11:15:20.569001+00"
9dedc2a3-23fc-4651-8522-5ab3b91a85be,Sling,"Visual Inspection",NPS-2032,2026-08-03,Valid,10,1,TB-713,"2026-04-18 11:15:20.569001+00"
7af04c6a-1e89-4d08-bddd-71b019832693,"Come Along","Visual Inspection",410280034,2026-08-06,Valid,3,"",TB-713,"2026-04-18 11:15:20.569001+00"
521be4da-8c68-4aac-815b-5173c811726e,Boomer,"Visual Inspection",NPS4277,2026-07-24,Valid,"","",TB-713,"2026-04-18 11:15:20.569001+00"
66a1ecbb-85e3-4434-a8e3-14749e0972f7,"Fall Arrestor","Visual Inspection",152276,2026-05-24,Valid,"","",TB-720,"2026-04-18 11:15:20.569001+00"
57c8009e-bac2-445d-ac4d-18681137c5d6,Sling,"Visual Inspection",NPS-3432,2026-09-14,Valid,1.8,2,TB-720,"2026-04-18 11:15:20.569001+00"
62aadf2f-faaa-47bd-ba82-415c357aac54,Sling,"Visual Inspection",AZ-9138,2026-07-18,Valid,10,1,TB-720,"2026-04-18 11:15:20.569001+00"
993b9d61-aa7c-4d21-af99-ba56f24f6146,"Come Along","Visual Inspection",410280054,2026-09-23,Valid,3,"",Yard,"2026-04-18 11:15:20.569001+00"
d5e281ae-30f5-4d96-aa39-ea8874bfec8a,Boomer,"Visual Inspection",YT-164,2026-08-04,Valid,"","",TB-703,"2026-04-18 11:15:20.569001+00"
04869865-3ec0-4a23-a7d7-f240c24d47a7,Sling,"Visual Inspection",NPS-2639,2026-09-03,Valid,10,1,TB-703,"2026-04-18 11:15:20.569001+00"
d5121dcf-41b1-4e7e-9459-990efd965cef,Boomer,"Visual Inspection",NPS-3927,2026-06-29,Valid,"","",Yard,"2026-04-18 11:15:20.569001+00"
baaf2647-0e7b-471a-8d61-bd0fef3510c6,Boomer,"Visual Inspection",YT-142,2026-09-23,Valid,"","",Yard,"2026-04-18 11:15:20.569001+00"
0f5adf9b-a3aa-41ab-a027-f982357cd53c,Boomer,"Visual Inspection",AD-28,2026-07-18,Valid,"","",Yard,"2026-04-18 11:15:20.569001+00"
7aaff079-2320-4d0f-ac23-9f9f49ad16b4,Boomer,"Visual Inspection",B-25-02,2026-09-23,Valid,"","",Yard,"2026-04-18 11:15:20.569001+00"
dab2a9de-c3a5-4e2a-8681-b49099a687a5,"Come Along","Visual Inspection",410280052,2026-09-23,Valid,3,"",TB-710,"2026-04-18 11:15:20.569001+00"
516b7614-71e7-4e94-b4b1-17b5a5535e2d,"Come Along","Visual Inspection",T22121575,2026-05-19,Valid,"",4,Yard,"2026-04-18 11:15:20.569001+00"
50054873-08a6-460a-8080-dc3bbfa38680,"Fall Arrestor","Visual Inspection",7432,2026-06-27,Valid,"","",Yard,"2026-04-18 11:15:20.569001+00"
e686642b-271e-4105-a532-b290c86e18bd,"Fall Arrestor","Visual Inspection",19277,2026-06-27,Valid,"","",Yard,"2026-04-18 11:15:20.569001+00"
a7d70f09-27ed-46b9-af04-da9a7b3e4b22,Sling,"Visual Inspection",NPS-2481,2026-06-28,Valid,13,4,PP-723,"2026-04-18 11:15:20.569001+00"
20dba8a0-45f2-4300-afd3-44f1c046305e,Sling,"Visual Inspection",NPS-2581,2026-08-03,Valid,13,4,CC-723,"2026-04-18 11:15:20.569001+00"
d38b6cd3-0a4d-4786-aebb-dc2f1ae5f5ef,Sling,"Visual Inspection",NPS-3772,2026-09-14,Valid,18,4,IJ-723,"2026-04-18 11:15:20.569001+00"
8ce6b379-8c0f-400b-9230-7ef61ee7d30f,Sling,"Visual Inspection",GOHS-059,2026-05-17,"Expiring Soon",18,4,OHS213,"2026-04-18 11:15:20.569001+00"
